248315803897794, 386127890875011, 326651351825022 @ -89, -119, 32
332497633176671, 319768494554521, 308514709214883 @ -120, -49, -91
362310144548603, 372801373228571, 154999941640943 @ 80, -599, 249
147600732651147, 257653897951867, 363204898979065 @ 31, 20, -18
127962733756239, 435223143151347, 265315060744181 @ 112, -203, 67
129364213674048, 265564347707935, 397756636595625 @ 21, 5, -29
129069928248855, 90274230086221, 190689953665773 @ 115, 261, 166
365759650238511, 324014469045037, 181437742607709 @ 44, -93, -25
153672929663427, 246239459826295, 382308750043275 @ 9, 28, -25
323980710532989, 301873433827926, 208963048306249 @ 10, 16, 27
209240120242698, 509362497822232, 225933457045197 @ 27, -326, 111
121081187663651, 191981910490804, 455355161556878 @ 84, 104, -146
207095428899365, 337824607080146, 433499853003658 @ -46, -68, -80
347270816913529, 396926499717297, 214524566560363 @ -64, -347, -6
400734357309065, 355172684389081, 351735954141313 @ -262, -145, -314
86295935547933, 238037915624059, 368912104494933 @ 160, 58, -66
262804709719122, 292257162719556, 260398703044472 @ 19, 6, 6
227333817360000, 227904701825881, 166033737078708 @ 105, 143, 194
307451580403970, 307158306808041, 359831745481308 @ -133, -33, -46
260928997267475, 262522318549021, 189388172141383 @ 105, 101, 129
198254771434733, 135236903941273, 235745041027303 @ -39, 143, 129
326059922582351, 275631126072080, 326666279234727 @ -88, 52, -175
367750808653557, 337565023944147, 184464554045091 @ 76, -270, -109
152817777602951, 136182010505035, 145527166558619 @ 155, 254, 231
255692472042417, 381803179147513, 271878974859015 @ 82, -195, -57
198934074712073, 141706535162261, 320556387341511 @ -40, 136, 41
366366997015041, 360428748027461, 233775558075115 @ -86, -284, -224
82871866320929, 230912126872888, 204817068451938 @ 62, 38, 164
325154375588802, 239238341950543, 434138522377218 @ -159, 49, -126
318859907788690, 293061457646496, 183033774841153 @ 23, 46, 123
381853451620865, 320516321686911, 169556558781363 @ -42, -62, 23
374900488027305, 280801613266561, 184561347331911 @ -107, 236, 21
57446479951865, 323342026517021, 205312793784283 @ 134, -53, 157
399156417481569, 389757829286305, 317057623050135 @ -256, -218, -173
290045175950290, 285481108335221, 277509280583308 @ -13, 27, -54
341121306706449, 286869118201759, 84017075576187 @ -34, 82, 507
191441582714867, 148059633256129, 375082851758647 @ 12, 167, -63
201360702357651, 221046230724606, 258940828499352 @ 40, 96, 62
263527107349170, 217342157493226, 279781617344148 @ 137, 250, -144
281288715073681, 283932231098561, 229877836757231 @ 102, 61, -9
251546444707515, 312997627936621, 201362874261933 @ 135, -31, 96
254525968079249, 251687164422517, 55066223021522 @ 174, 155, 520
377320028445213, 318115676571679, 172018206653673 @ 20, -22, -6
395885388742345, 349459620261411, 282675189730303 @ -246, -96, 13
353291968597181, 257032765821200, 275893279774281 @ -166, 70, -13
158655177078897, 334437451263769, 366055891789911 @ 14, -65, -17
230505271990170, 362091928295131, 510325393248153 @ -65, -95, -173
343600247108405, 348718741721625, 414885626655859 @ -187, -81, -74
220967779355761, 349190946621945, 221845789740071 @ 174, -120, 57
62682558858393, 253800317484043, 244866020528229 @ 154, 30, 106
206932474099189, 265803070512299, 320753150398449 @ 24, 28, -22
305840818198734, 150077752402267, 331887989364042 @ -111, 205, -50
187866126243068, 91823289633302, 280883219236033 @ 179, 418, -41
367164589486289, 318131376120735, 184619952571889 @ 62, -30, -90
356004013314741, 273960718053109, 200438002078551 @ 85, 352, -155
187167785624021, 226278301929629, 240180538979737 @ 80, 97, 82
185130713155305, 243447722457106, 91800477353823 @ 230, 124, 361
198895494340676, 485792233126129, 389445404065683 @ 11, -265, -91
346698868530417, 327755275653913, 195638107018983 @ -20, -87, 34
337057396079702, 259745020200934, 187240071570766 @ -121, 80, 148
339559046208105, 376602772877929, 194033434030203 @ 148, -461, -46
387519926674405, 336700312036655, 273000682332376 @ -222, -107, -182
322531742996865, 291060055361561, 265946911313943 @ 133, 103, -358
277533914688519, 320162455676080, 220708774356546 @ 52, -50, 52
278106270596820, 358910755855291, 349494187940348 @ -83, -103, -54
276192720443562, 332083214492706, 199671378638339 @ 91, -84, 93
370774515665700, 312349212398326, 177771971241423 @ 35, 42, -23
358352008573357, 278828717708893, 182293417190657 @ -6, 227, 51
343899876517752, 280324869555353, 183817297216569 @ 79, 207, 47
230014051196455, 278749264685001, 297296779081413 @ -19, 7, 20
355887367190529, 231295023302061, 195287131140443 @ -170, 121, 139
381384481287117, 302728567009495, 217805816805927 @ -190, 25, -47
163362070144642, 302278272936101, 326763005808615 @ 21, -29, 17
350003920509330, 304913942774011, 200138714033898 @ 9, 37, -30
232065959520002, 340031374567946, 166962030277153 @ -43, -74, 199
312238665130781, 393258231837607, 286961939437381 @ -40, -232, -110
356016410633465, 314573075591961, 194737740481963 @ -12, -17, -12
151372724077485, 171730147046665, 306895225779639 @ 13, 107, 53
251941922287045, 98644415572257, 345269619274273 @ -22, 295, -81
320262271837305, 362204906863460, 36014632114328 @ 118, -258, 814
279075537062681, 289326312068865, 270145512604591 @ -13, 12, -14
354706741159487, 242287706445144, 157438465674815 @ -24, 388, 217
119971577248165, 381987583774501, 302149326172343 @ 48, -115, 57
296317193847085, 342580439728126, 229103185631773 @ 26, -112, 15
351402997748373, 506398073227813, 148247444858831 @ -68, -823, 253
305769386924140, 308757293725607, 230930192788311 @ -67, -27, 65
105572485166865, 293514333218521, 330518702391783 @ 43, -23, 39
55041468649103, 329108534867404, 138101233132043 @ 84, -58, 229
237489639659229, 279957837232917, 233754894588699 @ 220, 69, -13
258956594158261, 304886624351769, 264890203466391 @ 47, -17, -19
60504463013325, 277648078264536, 281108818235398 @ 82, -8, 90
255664248282609, 229487839724089, 268622566518855 @ -30, 90, 40
242458863194891, 311866020624667, 274759829242975 @ 159, -28, -99
324231684683565, 285771707795521, 475782479280683 @ -59, 41, -630
310775485561475, 388749587724435, 255041782832649 @ -157, -120, 110
347138775493401, 299073102494761, 211975051225167 @ -41, 41, -22
217400903902755, 200939998616161, 332529295412463 @ -11, 107, -19
310470234909499, 206570362750954, 195352450820474 @ -108, 134, 150
109894796770993, 240165678158009, 418051414587255 @ 50, 33, -58
324333009592340, 333322587794755, 226376342746282 @ 33, -103, -60
363138548949744, 345167015824466, 187699266832568 @ 109, -344, -126
248646766456397, 402164161724309, 276564974228623 @ -33, -168, 39
285317464406540, 217283869849527, 155769991985488 @ -67, 117, 214
353425921974141, 290683754185411, 139833885922257 @ 12, 136, 330
309085503160652, 415067847201360, 280146963458669 @ -135, -170, 55
95870364815247, 364688353071375, 16469402218359 @ 109, -102, 377
107000508341124, 150520503086478, 400295956147996 @ 115, 162, -92
367948578726735, 305409881174765, 189832763315751 @ 73, 129, -175
371529336303570, 384107036391601, 200217369452763 @ 43, -889, -331
316013816495129, 251820842352809, 361976987513071 @ -135, 45, -72
366507851213127, 258197214943708, 262555875511047 @ -184, 84, -15
173322347986883, 267621202103427, 209096342950276 @ 104, 33, 130
404202897394449, 363784053070009, 518636226137511 @ -259, -118, -355
265625696191597, 301647233939829, 255208946905999 @ 47, -8, -9
379379844349697, 323464769574926, 183991548410537 @ -34, -104, -165
353280511047085, 310035272448003, 227848246732690 @ -102, -15, -32
362642197309416, 261666602055250, 94957132380865 @ 7, 422, 727
170195553651691, 349479535634056, 378058336903019 @ 96, -94, -123
373493139473905, 298680666835225, 260934189260839 @ -112, 89, -459
356116096924837, 276483468020707, 258622081878209 @ 60, 302, -600
284169591605241, 347479312050918, 84823500184394 @ 22, -116, 388
